,position,read_depth-YMR186W-SRR1520311-a-v2-p4,norm_cov-YMR186W-SRR1520311-a-v2-p4,read_depth-YMR186W-SRR1520311-v2-p4-m1,norm_cov-YMR186W-SRR1520311-v2-p4-m1
368,369,1880,0.9628602014446386,3,0.0037541232432457983
369,370,1849,0.9469832513144344,3,0.0037541232432457983
370,371,1649,0.8445513149905367,3,0.0037541232432457983
371,372,1525,0.7810435144697201,3,0.0037541232432457983
372,373,1581,0.8097244566404115,5,0.00625687207207633
373,374,1458,0.7467288158012144,5,0.00625687207207633
374,375,1472,0.7538990513438872,5,0.00625687207207633
375,376,1576,0.8071636582323141,6,0.007508246486491597
376,377,1355,0.693976368594407,51,0.06382009513517857
377,378,1341,0.6868061330517342,56,0.0700769672072549
378,379,1340,0.6862939733701147,62,0.0775852136937465
379,380,1336,0.6842453346436368,68,0.0850934601802381
380,381,1344,0.6883426120965926,82,0.10261270198205182
381,382,1474,0.7549233707071262,95,0.11888056936945028
382,383,1235,0.6325172068000684,97,0.12138331819828081
383,384,1207,0.6181767357147228,135,0.16893554594606092
384,385,1196,0.6125429792169084,135,0.16893554594606092
385,386,992,0.5080624041665327,161,0.20147128072085785
386,387,994,0.5090867235297717,181,0.22649876900916316
387,388,989,0.5065259251216743,185,0.23150426666682422
388,389,953,0.4880881765833726,192,0.2402638875677311
389,390,967,0.4952584121260455,195,0.2440180108109769
390,391,965,0.4942340927628065,194,0.24276663639656162
391,392,1050,0.537767665700463,311,0.38917744288314776
392,393,1082,0.5541567755122867,353,0.44173516828858894
393,394,1075,0.5505716577409503,355,0.4442379171174195
394,395,1074,0.5500594980593307,367,0.4592544100904027
395,396,1112,0.5695215659608713,405,0.5068066378381828
396,397,1112,0.5695215659608713,417,0.5218231308111659
397,398,1108,0.5674729272343934,431,0.5393423726129797
398,399,1173,0.6007633065396601,498,0.6231844583788025
399,400,1187,0.607933542082333,532,0.6657311884689215
400,401,1148,0.5879593144991729,555,0.6945128000004727
401,402,1293,0.6622224683339988,748,0.936028061982619
402,403,1279,0.655052232791326,751,0.9397821852258649
403,404,1175,0.6017876259028991,784,0.9810775409015686
404,405,1188,0.6084457017639524,825,1.0323838918925945
405,406,1186,0.6074213824007135,825,1.0323838918925945
406,407,1107,0.5669607675527739,836,1.0461490104511624
407,408,1144,0.585910675772695,901,1.1274883473881547
408,409,1294,0.6627346280156182,1088,1.3614953628838096
409,410,1180,0.6043484243109966,1090,1.36399811171264
410,411,1152,0.5900079532256509,1091,1.3652494861270554
411,412,1179,0.603836264629377,1120,1.401539344145098
412,413,1140,0.583862037046217,1103,1.3802659791000385
413,414,1173,0.6007633065396601,1147,1.4353264533343102
414,415,1210,0.6197132147595812,1184,1.481627306667675
415,416,1214,0.6217618534860592,1188,1.486632804325336
416,417,1234,0.632005047118449,1208,1.5116602926136415
417,418,1233,0.6314928874368294,1207,1.5104089181992262
418,419,1228,0.628932089028732,1228,1.5366877809019468
419,420,1311,0.6714413426031496,1311,1.640551857298414
420,421,1362,0.6975614863657434,1362,1.7043719524335925
421,422,1420,0.7272667478996738,1420,1.776951668469678
422,423,1528,0.7825799935145785,1528,1.9121001052265267
423,424,1528,0.7825799935145785,1528,1.9121001052265267
424,425,1569,0.8035785404609777,1569,1.9634064562175526
425,426,1592,0.8153582131382259,1592,1.9921880677491037
426,427,1568,0.8030663807793581,1568,1.9621550818031372
427,428,1489,0.7626057659314185,1489,1.8632965030643314
428,429,1523,0.7800191951064811,1523,1.9058432331544504
429,430,1517,0.7769462370167642,1517,1.8983349866679586
430,431,1327,0.6796358975090614,1327,1.6605738479290582
431,432,1410,0.7221451510834789,1410,1.7644379243255253
432,433,1439,0.7369977818504441,1439,1.800727782343568
433,434,1364,0.6985858057289824,1364,1.706874701262423
434,435,1465,0.7503139335725508,1465,1.8332635171183649
435,436,1478,0.7569720094336041,1478,1.8495313845057633
436,437,1331,0.6816845362355394,1331,1.6655793455867192
437,438,1383,0.7083168396797527,1383,1.7306508151363131
438,439,1597,0.8179190115463233,1597,1.99844493982118
439,440,1598,0.8184311712279427,1598,1.9996963142355952
440,441,1812,0.9280333430945134,1812,2.267490438920462
441,442,1840,0.942373814179859,1840,2.3025289225240897
442,443,1767,0.9049861574216364,1767,2.2111785902717753
443,444,1728,0.8850119298384763,1728,2.1623749881095797
444,445,1729,0.8855240895200958,1729,2.163626362523995
445,446,1702,0.8716957781163696,1702,2.129839253334783
446,447,1759,0.9008888799686804,1759,2.2011675949564533
447,448,1772,0.9075469558297338,1772,2.2174354623438517
448,449,1606,0.8225284486808987,1606,2.0097073095509175
449,450,1721,0.8814268120671399,1721,2.153615367208673
450,451,1662,0.8512093908515901,1662,2.0797842767581725
451,452,1592,0.8153582131382259,1592,1.9921880677491037
452,453,1595,0.8168946921830843,1595,1.9959421909923494
453,454,1527,0.7820678338329591,1527,1.9108487308121114
454,455,1492,0.764142244976277,1492,1.867050626307577
455,456,1487,0.7615814465681795,1487,1.8607937542355006
456,457,1474,0.7549233707071262,1474,1.8445258868481023
457,458,1469,0.7523625722990287,1469,1.838269014776026
458,459,1479,0.7574841691152236,1479,1.8507827589201786
459,460,1486,0.7610692868865601,1486,1.8595423798210855
460,461,1420,0.7272667478996738,1420,1.776951668469678
461,462,1430,0.7323883447158687,1430,1.7894654126138305
462,463,1524,0.7805313547881007,1524,1.9070946075688655
463,464,1440,0.7375099415320636,1440,1.8019791567579833
464,465,1495,0.7656787240211355,1495,1.8708047495508229
465,466,1608,0.8235527680441377,1608,2.0122100583797478
466,467,1405,0.7195843526753815,1405,1.758181052253449
467,468,1350,0.6914155701863096,1350,1.6893554594606093
468,469,1371,0.7021709235003188,1371,1.71563432216333
469,470,1145,0.5864228354543144,1145,1.4328237045054797
470,471,1137,0.5823255580013585,1137,1.4228127091901577
471,472,1221,0.6253469712573956,1221,1.52792816000104
472,473,1261,0.6458333585221752,1261,1.5779831365776507
473,474,1309,0.6704170232399106,1309,1.6380491084695834
474,475,1466,0.7508260932541703,1465,1.8332635171183649
475,476,1418,0.7262424285364348,1417,1.7731975452264321
476,477,1691,0.8660620216185552,1690,2.1148227603618
477,478,1680,0.8604282651207409,1679,2.101057641803232
478,479,1513,0.7748975982902863,1502,1.8795643704517297
479,480,1506,0.7713124805189499,1493,1.8683020007219924
480,481,1469,0.7523625722990287,1456,1.8220011473886275
481,482,1474,0.7549233707071262,1452,1.8169956497309665
482,483,1488,0.762093606249799,1464,1.8320121427039495
483,484,1489,0.7626057659314185,1465,1.8332635171183649
484,485,1484,0.7600449675233211,1450,1.8144929009021358
485,486,1488,0.762093606249799,1453,1.8182470241453816
486,487,1477,0.7564598497519847,1441,1.8032305311723984
487,488,1757,0.8998645606054415,1721,2.153615367208673
488,489,2012,1.030465279418411,1976,2.4727158428845657
489,490,2188,1.120605383383441,2150,2.6904549909928224
490,491,2140,1.0960217186657055,2102,2.6303890191008894
491,492,2117,1.0842420459884574,2067,2.5865909145963553
492,493,2127,1.0893636428046523,2053,2.5690716727945415
493,494,1950,0.9987113791580028,1875,2.346327027028624
494,495,2034,1.0417327924140398,1955,2.4464369801818453
495,496,2105,1.0780961298090235,2024,2.5327818147764987
496,497,2072,1.0611948603155803,1991,2.491486459100795
497,498,2078,1.0642678184052974,1997,2.4989947055872865
498,499,2294,1.1748943096351068,2213,2.769291579100984
499,500,2281,1.1682362337740535,2200,2.7530237117135856
500,501,2396,1.2271345971602947,2315,2.8969317693713412
501,502,2359,1.2081846889403736,2278,2.8506309160379764
502,503,2162,1.1072892316613343,2082,2.605361530812584
503,504,2159,1.1057527526164759,2079,2.6016074075693383
504,505,2234,1.1441647287379375,2154,2.6954604886504834
505,506,1938,0.9925654629785688,1871,2.341321529370963
506,507,1945,0.9961505807499054,1878,2.35008115027187
507,508,1952,0.9997356985212418,1877,2.3488297758574546
508,509,1960,1.0038329759741977,1885,2.3588407711727766
509,510,2020,1.034562556871367,1894,2.370103140902514
510,511,2253,1.1538957626887079,1903,2.3813655106322513
511,512,2341,1.1989658146712228,1965,2.458950724325998
512,513,2388,1.2230373197073388,2007,2.5115084497314393
513,514,2503,1.28193568309358,2010,2.515262572974685
514,515,2502,1.2814235234119604,1976,2.4727158428845657
515,516,2680,1.3725879467402293,1962,2.455196601082752
